game,task,status,steps_taken,command_count,reason
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
detective,Go south,completed,1,1,
detective,Go north,completed,1,1,
